Date,Wochentag,avg_index_miv,avg_index_miv_w,avg_index_velo,avg_index_velo_w,avg_index_fuss,avg_index_fuss_w,avg_index_oev,avg_index_oev_w,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,Lufttemperatur,Niederschlagsdauer,avg_7day_index_miv,avg_7day_index_velo,avg_7day_index_fuss,avg_7day_index_oev,avg_7day_index_retail,avg_7day_index_grocery,avg_7day_index_parks,avg_7day_index_transit,avg_7day_index_work,avg_7day_index_residential,avg_7day_temp,avg_7day_rain
2022-02-25,Freitag,0.991609139143881,0.995002400258197,1.41054334092024,1.17641840001042,1.10171988287445,0.989934907590579,0.799957908334176,0.800194144598897,0.8,1,1.21,0.78,0.71,1.09,4.7,234.1,0.973964708717489,1.02328054299493,0.916417946252737,0.70314717527232,0.801428571428571,0.948571428571429,1.23571428571429,0.794285714285714,0.775714285714286,1.07,6.95714285714286,188.328571428571
2022-02-26,Samstag,1.04092280511424,1.04442922596675,1.61223584446363,1.32238210401001,1.10512641146,1.05343727224105,1.11964591218331,1.12052146651179,0.85,1.01,1.46,0.89,1,1.01,3.3,91.2,0.981822976231823,1.05931476043142,0.941134656503285,0.741859316775271,0.804285714285714,0.952857142857143,1.24857142857143,0.801428571428571,0.78,1.06857142857143,6.54285714285714,161.642857142857
2022-02-27,Sonntag,1.10292186816144,1.09829166316758,1.57754214290912,1.34700652809861,1.29249067605528,1.08070722377492,0.697377228749441,0.697259600339756,0.95,0.96,1.43,0.96,1.01,1,3.1,0,0.998820770326453,1.15626111886398,1.00294325799546,0.752050067483487,0.817142857142857,0.964285714285714,1.29,0.815714285714286,0.784285714285714,1.06571428571429,5.81428571428571,159.828571428571
2022-02-28,Montag,1.01399809939195,1.01242376710251,1.66751647842516,1.40352615142292,1.32820795632057,1.06365223733021,0.73789080003929,0.737794602861418,0.83,1,1.66,0.83,0.71,1.08,3.4,0,1.01123396381441,1.22846987125491,1.01767292307417,0.765752389769292,0.828571428571429,0.978571428571428,1.39571428571429,0.83,0.791428571428571,1.06142857142857,5.4,94.4571428571429
2022-03-01,Dienstag,1.00964275933457,1.00659609654459,1.70241519883264,1.41599236231866,1.2861858432083,1.11895156109469,0.728147450115395,0.728100284943152,0.85,1.03,1.77,0.86,0.75,1.07,3.6,0,1.02024577400065,1.27138435700371,1.0190365702632,0.775924151654742,0.834285714285714,0.987142857142857,1.45857142857143,0.841428571428572,0.797142857142857,1.05857142857143,4.95714285714286,56.6
2022-03-02,Mittwoch,1.0534063207099,1.05041763164074,1.69352263879637,1.44359027294854,1.36035125032517,1.13984571284614,0.811472572249226,0.811221946257181,0.81,0.99,1.35,0.83,0.74,1.07,4.9,0,1.0271072544468,1.31373647365879,1.04694482280702,0.793902021473157,0.837142857142857,0.994285714285714,1.44,0.847142857142857,0.802857142857143,1.05714285714286,4.42857142857143,48.5857142857143
2022-03-03,Donnerstag,1.04919988653785,1.04374530117241,1.60499480975978,1.35507050677496,1.23002860515638,1.04367841701073,0.775118334065874,0.77476657735183,0.82,1.04,1.43,0.84,0.74,1.07,7.2,0,1.0358437265504,1.35199804651202,1.07002961884119,0.809944315105245,0.844285714285714,1.00428571428571,1.47285714285714,0.855714285714286,0.808571428571429,1.05571428571429,4.31428571428571,46.4714285714286
2022-03-04,Freitag,1.0295361570928,1.02342941297188,1.65790914060618,1.44415003955105,1.28530639897156,1.14339921134926,0.929898171422563,0.930193368020502,0.81,1.04,1.5,0.81,0.74,1.08,5,0,1.03990472836664,1.39024542358925,1.09195309080672,0.828507209832158,0.845714285714286,1.01,1.51428571428571,0.86,0.812857142857143,1.05428571428571,4.35714285714286,13.0285714285714
2022-03-05,Samstag,1.06370607181417,1.04514583591263,1.50301414606719,1.30116679104903,0.984960574196844,0.929032043519106,0.90054796532058,0.900984516143584,0.87,1.04,1.81,0.93,1,1.01,2.9,0,1.04000710121605,1.38721466459482,1.07418091527501,0.797207503137481,0.848571428571429,1.01428571428571,1.56428571428571,0.865714285714286,0.812857142857143,1.05428571428571,4.3,0
2022-03-06,Sonntag,1.08047457001853,1.07528439010489,1.4567118990881,1.2984142501619,1.16006647297106,0.959468053587166,0.730956763793677,0.730855201394788,0.9,0.95,1.3,0.92,0.99,1.01,1.7,0,1.03672034792138,1.38027291060387,1.05686103381962,0.802004579572372,0.841428571428572,1.01285714285714,1.54571428571429,0.86,0.81,1.05571428571429,4.1,0
2022-03-07,Montag,1.00069193989909,0.998680891485863,1.50433572718137,1.34313893023398,1.27915228818659,1.08468966291032,0.761834264591273,0.761773493884911,0.78,1,1.31,0.8,0.7,1.09,1.6,0,1.03475707997614,1.37164616471973,1.05986638033106,0.80542507450837,0.834285714285714,1.01285714285714,1.49571428571429,0.855714285714286,0.808571428571429,1.05714285714286,3.84285714285714,0
2022-03-08,Dienstag,1.01256362344354,1.006944794534,1.68482957651348,1.44163134121834,1.48116119294607,1.22288504249188,0.766063655906502,0.766017472751723,0.84,1.06,1.55,0.86,0.76,1.07,1.8,0,1.03480689397463,1.37530887599111,1.07471402053066,0.810841675335671,0.832857142857143,1.01714285714286,1.46428571428571,0.855714285714286,0.81,1.05714285714286,3.58571428571429,0
2022-03-09,Mittwoch,1.06150217944715,1.0573238353356,1.62777104633433,1.43754346314325,1.31632416903943,1.12078110424937,0.80659207104347,0.806411770782339,0.82,0.99,1.48,0.86,0.75,1.07,5.1,0,1.03579349450247,1.37444504601893,1.07199050501683,0.810144460877705,0.834285714285714,1.01714285714286,1.48285714285714,0.86,0.811428571428571,1.05714285714286,3.61428571428571,0
2022-03-10,Donnerstag,1.0243275059458,1.01901136935424,1.55035742253594,1.38048772900739,1.06893227584498,0.90906905331716,0.797998474035449,0.797729330321625,0.8,1.04,1.37,0.86,0.76,1.07,6.7,0,1.0322600756713,1.37807607776642,1.05276059591775,0.813413052301931,0.831428571428571,1.01714285714286,1.47428571428571,0.862857142857143,0.814285714285714,1.05714285714286,3.54285714285714,0
2022-03-11,Freitag,0.997274981162519,0.99352608325777,1.7554903360899,1.52437060470733,1.12284096853994,0.979520421386847,1.03983130448486,1.04111206026248,0.79,1.03,1.47,0.82,0.75,1.09,7.3,0,1.02798817142643,1.38953615850303,1.02934934020883,0.829117785596544,0.828571428571429,1.01571428571429,1.47,0.864285714285714,0.815714285714286,1.05857142857143,3.87142857142857,0
